,A. Basic Identifiers,,,,,,B. Building Information,,,,,,C. Subject's Personal Information,,,,,D. Subjective Thermal Comfort Information,,,,,,E. Indoor Physical Parameters,,,,,,,,,,,,,,,,,,F. Indoor Calculated Parameters,,,,,G.Outdoor Environment Parameters,,,,,,
12007,TJU2nd0170,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.59 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-0.19,5.74,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
12008,TJU2nd0171,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,0.1,0.91 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-0.35,7.64,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
12009,TJU2nd0172,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,0.1,0.63 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-1.28,39.20,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
12010,TJU2nd0173,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.82 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-1.14,32.36,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
12011,TJU2nd0174,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,0.1,0.64 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-1.51,51.43,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
12012,TJU2nd0175,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.46 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-0.99,25.70,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
12013,TJU2nd0176,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,0.1,0.68 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-0.85,20.32,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
12014,TJU2nd0177,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,-0.1,0.88 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-0.93,23.25,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
12015,TJU2nd0178,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,1.0,0.1,0.68 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-1.05,28.39,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
12016,TJU2nd0179,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,0.1,0.60 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-0.94,23.91,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12017,TJU2nd0181,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,1.0,0.1,0.86 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.85,69.56,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12018,TJU2nd0182,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.68 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.88,71.21,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12019,TJU2nd0183,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.69 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.33,41.96,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12020,TJU2nd0184,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,0.1,0.69 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.23,36.93,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12021,TJU2nd0185,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.75 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.28,39.38,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12022,TJU2nd0186,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.88 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.23,36.93,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12023,TJU2nd0187,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,0.1,0.71 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.78,66.25,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12024,TJU2nd0188,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,0.1,0.60 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.05,28.34,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12025,TJU2nd0189,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.63 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-0.65,13.82,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12026,TJU2nd0190,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,0.1,0.69 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.23,36.93,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12027,TJU2nd0191,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.86 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.35,43.29,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12028,TJU2nd0192,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.32 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.09,30.31,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12029,TJU2nd0194,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.98 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-0.50,10.27,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12030,TJU2nd0195,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,0.1,0.61 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-0.79,18.17,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12031,TJU2nd0196,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.86 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-0.79,18.17,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12032,TJU2nd0197,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.77 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.23,36.93,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12033,TJU2nd0198,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.79 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.43,47.48,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12034,TJU2nd0199,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.91 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.23,36.93,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12035,TJU2nd0200,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.78 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.14,32.39,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12036,TJU2nd0201,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,0.69 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-0.15,5.46,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12037,TJU2nd0202,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.80 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-0.68,14.79,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12038,TJU2nd0203,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.81 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.23,36.93,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12039,TJU2nd0204,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.79 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.09,30.31,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12040,TJU2nd0205,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,1.0,0.1,0.86 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-2.48,93.11,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12041,TJU2nd0206,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,-0.1,0.63 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.03,27.40,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12042,TJU2nd0207,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.76 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-1.28,39.38,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12043,TJU2nd0208,2012-03-22 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,0.1,0.60 ,1.1 ,0.1 ,18.3 ,69 ,0.04 ,18.1 ,0.6 ,18.3 ,69 ,0.04 ,18.1 ,1.1 ,18.3 ,69 ,0.04 ,18.1 ,NA,NA,NA,18.1 ,18.0 ,NA,-0.58,12.09,14.3 ,12.0,9.4,7.1,8.2,NA,NA,
12044,TJU2nd0209,2012-03-26 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,0.1,0.63 ,1.1 ,0.1 ,21.7 ,44 ,0.04 ,21.7 ,0.6 ,21.7 ,44 ,0.04 ,21.7 ,1.1 ,21.7 ,44 ,0.04 ,21.7 ,NA,NA,NA,21.7 ,21.6 ,NA,-0.20,5.84,20.1 ,12.2,9.4,7.7,9.5,NA,NA,
12045,TJU2nd0210,2012-03-26 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,0.91 ,1.1 ,0.1 ,21.7 ,44 ,0.04 ,21.7 ,0.6 ,21.7 ,44 ,0.04 ,21.7 ,1.1 ,21.7 ,44 ,0.04 ,21.7 ,NA,NA,NA,21.7 ,21.6 ,NA,-0.37,7.80,20.1 ,12.2,9.4,7.7,9.5,NA,NA,
12046,TJU2nd0211,2012-03-26 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,0.67 ,1.1 ,0.1 ,21.7 ,44 ,0.04 ,21.7 ,0.6 ,21.7 ,44 ,0.04 ,21.7 ,1.1 ,21.7 ,44 ,0.04 ,21.7 ,NA,NA,NA,21.7 ,21.6 ,NA,-1.04,28.18,20.1 ,12.2,9.4,7.7,9.5,NA,NA,
12047,TJU2nd0212,2012-03-26 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,0.1,0.46 ,1.1 ,0.1 ,21.7 ,44 ,0.04 ,21.7 ,0.6 ,21.7 ,44 ,0.04 ,21.7 ,1.1 ,21.7 ,44 ,0.04 ,21.7 ,NA,NA,NA,21.7 ,21.6 ,NA,-0.31,7.06,20.1 ,12.2,9.4,7.7,9.5,NA,NA,
12048,TJU2nd0213,2012-03-26 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,0.1,0.88 ,1.1 ,0.1 ,21.7 ,44 ,0.04 ,21.7 ,0.6 ,21.7 ,44 ,0.04 ,21.7 ,1.1 ,21.7 ,44 ,0.04 ,21.7 ,NA,NA,NA,21.7 ,21.6 ,NA,-0.40,8.38,20.1 ,12.2,9.4,7.7,9.5,NA,NA,
12049,TJU2nd0215,2012-03-26 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,0.68 ,1.1 ,0.1 ,21.7 ,44 ,0.04 ,21.7 ,0.6 ,21.7 ,44 ,0.04 ,21.7 ,1.1 ,21.7 ,44 ,0.04 ,21.7 ,NA,NA,NA,21.7 ,21.6 ,NA,-0.59,12.45,20.1 ,12.2,9.4,7.7,9.5,NA,NA,
12050,TJU2nd0216,2012-03-26 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,1.0,0.1,0.82 ,1.1 ,0.1 ,21.7 ,44 ,0.04 ,21.7 ,0.6 ,21.7 ,44 ,0.04 ,21.7 ,1.1 ,21.7 ,44 ,0.04 ,21.7 ,NA,NA,NA,21.7 ,21.6 ,NA,-1.16,33.36,20.1 ,12.2,9.4,7.7,9.5,NA,NA,
12051,TJU2nd0217,2012-03-26 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.90 ,1.1 ,0.1 ,21.7 ,44 ,0.04 ,21.7 ,0.6 ,21.7 ,44 ,0.04 ,21.7 ,1.1 ,21.7 ,44 ,0.04 ,21.7 ,NA,NA,NA,21.7 ,21.6 ,NA,-0.61,12.99,20.1 ,12.2,9.4,7.7,9.5,NA,NA,
12052,TJU2nd0218,2012-03-26 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.72 ,1.1 ,0.1 ,21.7 ,44 ,0.04 ,21.7 ,0.6 ,21.7 ,44 ,0.04 ,21.7 ,1.1 ,21.7 ,44 ,0.04 ,21.7 ,NA,NA,NA,21.7 ,21.6 ,NA,-0.42,8.70,20.1 ,12.2,9.4,7.7,9.5,NA,NA,
12053,TJU2nd0219,2012-03-26 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,0.1,0.52 ,1.1 ,0.1 ,21.7 ,44 ,0.04 ,21.7 ,0.6 ,21.7 ,44 ,0.04 ,21.7 ,1.1 ,21.7 ,44 ,0.04 ,21.7 ,NA,NA,NA,21.7 ,21.6 ,NA,-0.53,11.00,20.1 ,12.2,9.4,7.7,9.5,NA,NA,
12054,TJU2nd0220,2012-03-26 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,2.0,-0.1,0.68 ,1.1 ,0.1 ,21.7 ,44 ,0.04 ,21.7 ,0.6 ,21.7 ,44 ,0.04 ,21.7 ,1.1 ,21.7 ,44 ,0.04 ,21.7 ,NA,NA,NA,21.7 ,21.6 ,NA,-0.51,10.56,20.1 ,12.2,9.4,7.7,9.5,NA,NA,
12055,TJU2nd0221,2012-03-26 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.73 ,1.1 ,0.1 ,21.7 ,44 ,0.04 ,21.7 ,0.6 ,21.7 ,44 ,0.04 ,21.7 ,1.1 ,21.7 ,44 ,0.04 ,21.7 ,NA,NA,NA,21.7 ,21.6 ,NA,-0.61,12.99,20.1 ,12.2,9.4,7.7,9.5,NA,NA,
12056,TJU2nd0222,2012-03-26 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,2.0,0.1,0.58 ,1.1 ,0.1 ,21.7 ,44 ,0.04 ,21.7 ,0.6 ,21.7 ,44 ,0.04 ,21.7 ,1.1 ,21.7 ,44 ,0.04 ,21.7 ,NA,NA,NA,21.7 ,21.6 ,NA,-0.66,14.14,20.1 ,12.2,9.4,7.7,9.5,NA,NA,
12057,TJU2nd0223,2012-03-26 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.88 ,1.1 ,0.1 ,21.7 ,44 ,0.04 ,21.7 ,0.6 ,21.7 ,44 ,0.04 ,21.7 ,1.1 ,21.7 ,44 ,0.04 ,21.7 ,NA,NA,NA,21.7 ,21.6 ,NA,-0.15,5.50,20.1 ,12.2,9.4,7.7,9.5,NA,NA,
